Area Code,Area Code (M49),M49 Code,Area,Item Code (FBS),Item Code,Item,Year,target_year,result_type,food_supply_kcal_cap_day,eligible_for_2024_scoring,scoring_exclusion_reason,predicted_shortage_probability,risk_band,predicted_shortage_warning,evidence_review_level,eligible_for_headline_ranking,headline_ranking_exclusion_reason,missing_locked_feature_count,numeric_features_outside_training_range_count,non_year_features_outside_training_range_count,unknown_model_category_count,pair_has_historical_training_support,pair_historical_rows,pair_historical_shortages,pair_historical_shortage_rate,pair_predictor_year_start,pair_predictor_year_end,production_status,recorded_element_count,source_absent_element_count,source_present_missing_element_count,recorded_zero_element_count,recorded_negative_element_count,supply_outcome_recorded_count,supply_outcomes_complete,negative_domestic_supply_flag
215,'834,834,United Republic of Tanzania,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,55.53,True,Eligible for prospective scoring,0.22355454545454548,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,7,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,18,2,0,1,1,5,True,False
81,'288,288,Ghana,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,109.93,True,Eligible for prospective scoring,0.2219165223665224,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,22,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,No production source row,16,4,0,1,1,5,True,False
202,'710,710,South Africa,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,16.21,True,Eligible for prospective scoring,0.22168737928737925,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,2,1,0,0,True,12.0,0.0,0.0,2011.0,2022.0,Recorded positive production,18,2,0,1,1,5,True,False
130,'454,454,Malawi,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,40.27,True,Eligible for prospective scoring,0.22157590187590195,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,5,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,1,2,2,1,5,True,False
107,'384,384,Côte d'Ivoire,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,48.51,True,Eligible for prospective scoring,0.21963275613275593,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,3,0,2,0,5,True,False
124,'434,434,Libya,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,110.67,True,Eligible for prospective scoring,0.21932366522366536,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,26,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,Source-present missing production,14,4,2,1,1,5,True,False
233,'854,854,Burkina Faso,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,120.31,True,Eligible for prospective scoring,0.21739559884559884,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,3,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,Recorded positive production,18,2,0,2,0,5,True,False
226,'800,800,Uganda,'S2532,2532,Cassava and products,2023,2024,Model-generated 2024 early-warning estimate,123.62,True,Eligible for prospective scoring,0.2110762681762682,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,10,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,17,2,1,3,0,5,True,False
250,'180,180,Democratic Republic of the Congo,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,36.31,True,Eligible for prospective scoring,0.20995158730158725,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,3,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,17,2,1,1,1,5,True,False
124,'434,434,Libya,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,20.16,True,Eligible for prospective scoring,0.20764913419913417,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,18,1,0,0,True,13.0,0.0,0.0,2010.0,2022.0,Recorded positive production,15,4,1,2,0,5,True,False
