Area,Item Code,Item,Eligible_observations,Shortage_events,First_outcome_year,Last_outcome_year,Commodity_event_rate,Commodity_had_shortage,Commodity_had_recurrent_shortages
Sierra Leone,2532,Cassava and products,13,1,2011,2023,0.07692307692307693,True,False
Sierra Leone,2552,Groundnuts,13,3,2011,2023,0.23076923076923078,True,True
Sierra Leone,2807,Rice and products,13,0,2011,2023,0.0,False,False
South Africa,2511,Wheat and products,13,0,2011,2023,0.0,False,False
South Africa,2514,Maize and products,13,1,2011,2023,0.07692307692307693,True,False
South Africa,2518,Sorghum and products,9,1,2012,2022,0.1111111111111111,True,False
South Africa,2552,Groundnuts,12,0,2012,2023,0.0,False,False
South Africa,2807,Rice and products,13,0,2011,2023,0.0,False,False
Tunisia,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Tunisia,2552,Groundnuts,13,0,2011,2023,0.0,False,False
Tunisia,2807,Rice and products,13,1,2011,2023,0.07692307692307693,True,False
Uganda,2511,Wheat and products,13,1,2011,2023,0.07692307692307693,True,False
Uganda,2514,Maize and products,13,2,2011,2023,0.15384615384615385,True,True
Uganda,2517,Millet and products,13,3,2011,2023,0.23076923076923078,True,True
Uganda,2518,Sorghum and products,11,5,2011,2023,0.45454545454545453,True,True
Uganda,2532,Cassava and products,13,3,2011,2023,0.23076923076923078,True,True
Uganda,2552,Groundnuts,13,4,2011,2023,0.3076923076923077,True,True
Uganda,2807,Rice and products,13,3,2011,2023,0.23076923076923078,True,True
United Republic of Tanzania,2511,Wheat and products,13,3,2011,2023,0.23076923076923078,True,True
United Republic of Tanzania,2514,Maize and products,13,0,2011,2023,0.0,False,False
United Republic of Tanzania,2517,Millet and products,13,1,2011,2023,0.07692307692307693,True,False
United Republic of Tanzania,2518,Sorghum and products,13,2,2011,2023,0.15384615384615385,True,True
United Republic of Tanzania,2532,Cassava and products,13,1,2011,2023,0.07692307692307693,True,False
United Republic of Tanzania,2552,Groundnuts,13,2,2011,2023,0.15384615384615385,True,True
United Republic of Tanzania,2807,Rice and products,13,0,2011,2023,0.0,False,False
Zambia,2511,Wheat and products,13,4,2011,2023,0.3076923076923077,True,True
Zambia,2514,Maize and products,13,0,2011,2023,0.0,False,False
Zambia,2517,Millet and products,10,0,2011,2022,0.0,False,False
Zambia,2518,Sorghum and products,5,0,2011,2022,0.0,False,False
Zambia,2532,Cassava and products,13,2,2011,2023,0.15384615384615385,True,True
Zambia,2552,Groundnuts,13,3,2011,2023,0.23076923076923078,True,True
Zambia,2807,Rice and products,13,2,2011,2023,0.15384615384615385,True,True
Zimbabwe,2511,Wheat and products,13,1,2011,2023,0.07692307692307693,True,False
Zimbabwe,2514,Maize and products,13,0,2011,2023,0.0,False,False
Zimbabwe,2517,Millet and products,13,2,2011,2023,0.15384615384615385,True,True
Zimbabwe,2518,Sorghum and products,13,4,2011,2023,0.3076923076923077,True,True
Zimbabwe,2532,Cassava and products,13,0,2011,2023,0.0,False,False
Zimbabwe,2552,Groundnuts,13,5,2011,2023,0.38461538461538464,True,True
Zimbabwe,2807,Rice and products,13,2,2011,2023,0.15384615384615385,True,True
